sku,manufacturer_sku,manufacturer_name,short_description,sell_price,srp_price,currency_id,wequote_id
IPMX-E20F-IRB2,,ICRealtime,"""""""""""ICREALTIME 2 Megapixel IP Camera 1/2.8"""""""" 2M CMOS H.265/H.2641080P(130fps) True WDR (120dB)""""""",8606.09,0,ZAR,1208627
IPMX-B20F-IRW2,,ICRealtime,"""""""""""ICREALTIME 2 Megapixel IP Camera 1/2.8"""""""" 2M CMOS H.265/H.2641080P(1~30fps) True WDR (120dB)""""""",7795.65,0,ZAR,1208622
IPMX-D20F-IRW2,,ICRealtime,"""""""""""ICREALTIME 2 Megapixel IP Camera 1/2.8"""""""" 2M Exmor CMOS H.265/H.2641080P(1~60fps) True WDR""""""",8380.87,0,ZAR,1208625
PW-MP-06,,Planetwaves,"""""""""""PLANETWAVES 1/8"""""""" Stereo Male to Dual Unterminated -6'""""""",377.39,0,ZAR,1209283
IPMX-E20F-IRW2,,ICRealtime,"""""2 MP IP 1/2.8"""" 2M Exmor CMOS H.265/H.264.1080P(1~60fps) True WDR (120dB) IR 30m 3.6mm lens IP67""",7875.65,0,ZAR,1208628
72326,,Sonance,"""""CONNECT PRO Case 12.9"""" Black (5th Gen)""",8778.26,0,ZAR,1207635
72327,,Sonance,"""""CONNECT PRO Case 12.9"""" White (5th Gen)""",8778.26,0,ZAR,1207636
72324,,Sonance,"""""CONNECT PRO Case iPAD Air Black 10.9"""" or Pro 11""""(5th Gen / 3rd Gen)""",8778.26,0,ZAR,1207633
72325,,Sonance,"""""CONNECT PRO Case iPAD Air White 10.9"""" or Pro 11""""(5th Gen / 3rd Gen)""",8778.26,0,ZAR,1207634
70704,,Sonance,"""""IPORT SURFACE MOUNT BEZEL SILVER works with iPad Pro 9.7""""""""  Air 2 and iPad Air""",13685.22,0,ZAR,1207592
46KB6B,,Kicker Home Audio,"""""KICKER KB6 6.5"""" 2-WAY FULL RA""",3477.39,0,ZAR,1207568
46KB6G,,Kicker Home Audio,"""""KICKER KB6 6.5"""" 2-WAY FULL RA""",3477.39,0,ZAR,1207569
70301,,Sonance,"""""LAUNCH AP.5 SLEEVE WHITE works with iPad Pro 9.7""""""",6290.43,0,ZAR,1207578
DLA-Z1E,,JVC Projectors,"""""New 0.7""""4K/3000lm/Laser Phosphor for Custom Install""",868695.7,0,ZAR,1208161
SLIMMAX8K0.5M,,HDANYWHERE,0.5m 8K Ultra High Speed Slimwire Max (48G),520.87,0,ZAR,1209486
EVERG0.6R,,AudioQuest,0.6M EVERGREEN RCA-RCA,1478.26,0,ZAR,1208383
GOLDG0.6R,,AudioQuest,0.6M GOLDEN GATE RCA-RCA,2173.91,0,ZAR,1208499
TOWER0.6R,,AudioQuest,0.6M TOWER RCA-RCA,956.52,0,ZAR,1209612
COAXCIN0.75,,AudioQuest,0.75M DIGITAL COAX CINNAMON,1565.22,0,ZAR,1208098
COAXFOR0.75,,AudioQuest,0.75M DIGITAL COAX FOREST,782.61,0,ZAR,1208100
HDM48CAR100,,AudioQuest,1.0M 48G CARBON HDMI,3826.09,0,ZAR,1208516
HDM48CIN100,,AudioQuest,1.0M 48G CINNAMON HDMI,2521.74,0,ZAR,1208521
HDM48FOR100,,AudioQuest,1.0M 48G FOREST HDMI,1565.22,0,ZAR,1208525
HDM48PEA100,,AudioQuest,1.0M 48G PEARL HDMI,782.61,0,ZAR,1208529
EVERG01R,,AudioQuest,1.0M EVERGREEN RCA-RCA,1565.22,0,ZAR,1208385
GOLDG01R,,AudioQuest,1.0M GOLDEN GATE RCA-RCA,2347.83,0,ZAR,1208501
NRGY2EU01,,AudioQuest,1.0M NRG-Y2 EU POWER CORD,2173.04,0,ZAR,1208801
NRGY3EU01,,AudioQuest,1.0M NRG-Y3 EU POWER CORD,2607.83,0,ZAR,1208803
NRGZ2EU01,,AudioQuest,1.0M NRG-Z2 EU POWER CORD,3477.39,0,ZAR,1208805
NRGZ3EU01,,AudioQuest,1.0M NRG-Z3 EU POWER CORD,4346.96,0,ZAR,1208807
TOWER01R,,AudioQuest,1.0M TOWER RCA-RCA,956.52,0,ZAR,1209615
COAXCIN01.5,,AudioQuest,1.5M DIGITAL COAX CINNAMON,1913.04,0,ZAR,1208099
COAXFOR01.5,,AudioQuest,1.5M DIGITAL COAX FOREST,956.52,0,ZAR,1208101
EVERG01.5R,,AudioQuest,1.5M EVERGREEN RCA-RCA,1739.13,0,ZAR,1208384
GOLDG01.5R,,AudioQuest,1.5M GOLDEN GATE RCA-RCA,2521.74,0,ZAR,1208500
TOWER01.5MR,,AudioQuest,1.5M TOWER 3.5M-RCA,1130.43,0,ZAR,1209613
TOWER01.5R,,AudioQuest,1.5M TOWER RCA-RCA,1130.43,0,ZAR,1209614
SKL-1010-00,,SAVANT,10 KEYPAD POWER AND CONTROLLER,7426.09,0,ZAR,1209479
HDM48CCOLA1000,,AudioQuest,10.0M 48G Cherry Cola HDMI AOC,19043.48,0,ZAR,1208519
HDMFOR10A,,AudioQuest,10.0M FOREST HDMI,8086.96,0,ZAR,1208534
HDMPEA10A,,AudioQuest,10.0M PEARL HDMI,5217.39,0,ZAR,1208535
FIBRE-OPTICMAX8K10M,,HDANYWHERE,10m 8K Ultra High Speed Fibre-Optic Max (48G),4781.74,0,ZAR,1208459
HDMPEA12.5A,,AudioQuest,12.5M PEARL HDMI,6347.83,0,ZAR,1208536
NVR-EL128-4U12MP1-10TB,,ICRealtime,128 CH. EMBEDDED 4K NVR ENHANCED H.265 SUPPORTS UP TO 12MP 10TB INCLUDED (MADE IN KOREA),338506.09,0,ZAR,1208816
