sku,product_name,brand,wequote_sell_price_zar,odoo_sales_price_zar,price_diff_wequote_minus_odoo,odoo_cost_price_zar,wequote_msrp_zar,status
9155015,FLUSH MOUNT BACKBOX FOR KEYPAD DOOR STATION,SAVANT,2304.9429,0.0,2304.9429,0.0,0.0,Matched - PRICE MISMATCH
9155017,FLUSH MOUNT BOX FOR SINGLE HEIGHT DOOR STATION,SAVANT,1162.61,0.0,1162.61,0.0,0.0,Matched - PRICE MISMATCH
9155045,2N IP VERSO - FINGERPRINT READER,SAVANT,28315.1,0.0,28315.1,0.0,0.0,Matched - PRICE MISMATCH
92745,SONANCE RK83 GRANITE,Sonance,26808.6957,18900.0,7908.6957,11340.0,0.0,Matched - PRICE MISMATCH
93089,SONANCE VP80R,Sonance,10100.0,10099.13,0.8700000000008004,6059.48,0.0,Matched - PRICE MISMATCH
93125,SONANCE C6R SST,Sonance,3121.7391,3625.22,-503.4809,2175.14,0.0,Matched - PRICE MISMATCH
93153,SONANCE MARINER 64 B,Sonance,14782.62,14782.61,0.010000000000218279,8869.57,0.0,Matched - PRICE MISMATCH
93156,SONANCE MARINER 86 W,Sonance,25060.8696,24364.35,696.5196000000033,14618.61,0.0,Matched - PRICE MISMATCH
93353,SONANCE VPSUB,Sonance,66513.0435,46094.78,20418.2635,27656.87,0.0,Matched - PRICE MISMATCH
93356,SONANCE i8,Sonance,37330.4348,25895.65,11434.784800000001,15537.4,0.0,Matched - PRICE MISMATCH
93429,SONANCE PATIO 4.1,Sonance,55652.1739,44613.91,11038.263899999998,26768.35,0.0,Matched - PRICE MISMATCH
93430,SONANCE PATIO 4.1 W/SR 2-125,Sonance,82121.7391,64673.91,17447.829100000003,38804.35,0.0,Matched - PRICE MISMATCH
93432,SONANCE SGS 8.1 SYSTEM (8 - SATS 1 - SUB),Sonance,143878.2609,115278.26,28600.0009,69166.96,0.0,Matched - PRICE MISMATCH
93433,SONANCE SGS 8.1 SYSTEM w/SR 2-125 AMP (8 - SATS 1 - SUB 1 - 2-125 AMP),Sonance,164243.48,131746.96,32496.52000000002,79048.18,0.0,Matched - PRICE MISMATCH
93478,SONANCE IS6,Sonance,41060.8696,32429.57,8631.299599999998,19457.74,0.0,Matched - PRICE MISMATCH
93479,SONANCE IS8,Sonance,57347.8261,45401.74,11946.0861,27241.05,0.0,Matched - PRICE MISMATCH
93480,SONANCE IS10,Sonance,82121.7391,64860.0,17261.739100000006,38916.0,0.0,Matched - PRICE MISMATCH
93481,SONANCE IS10W,Sonance,32921.7391,25943.48,6978.259099999999,15566.09,0.0,Matched - PRICE MISMATCH
93482,SONANCE IS15W,Sonance,98408.6957,77831.3,20577.395699999994,46698.79,0.0,Matched - PRICE MISMATCH
C15S,C15S,M&K Sound,59409.5652,56520.87,2888.6951999999947,35454.0,0.0,Matched - PRICE MISMATCH
DOR-FMS-00,FLUSH MOUNT SINGLE HEIGHT DOOR STATION SILVER,SAVANT,37002.6087,35611.3,1391.3086999999941,24927.92,0.0,Matched - PRICE MISMATCH
DOR-SM0B-00,SURFACE MOUNT DOOR STATION BLACK,SAVANT,38059.1304,36628.7,1430.4304000000047,25640.09,0.0,Matched - PRICE MISMATCH
DOR-SMB-00,SURFACE MOUNT SINGLE HEIGHT DOOR STATION BLACK,SAVANT,35614.78,35611.3,3.4799999999959255,24927.92,0.0,Matched - PRICE MISMATCH
DRX3.4M2BMMA,Integra DRX-3.4 9.2-Channel Network AV Receiver,Integra,48704.3478,39999.13,8705.217800000006,23999.48,0.0,Matched - PRICE MISMATCH
DRX5.4M2BMMA,Integra DRX-5.4 9.2-Channel Network AV Receiver,Integra,62208.6957,52173.04,10035.655699999996,31303.83,0.0,Matched - PRICE MISMATCH
DRX8.4BMMM,Integra DRX-8.4 11.4-Channel Network AV Receiver,Integra,108226.087,86955.65,21270.437000000005,52173.39,0.0,Matched - PRICE MISMATCH
ESN-AVB12E-01,EXTREME NETWORKS 12 PORT AVB SWITCH,SAVANT,53421.7391,53416.52,5.219100000002072,42733.22,0.0,Matched - PRICE MISMATCH
FNIP-6x2AD,P5 - FNIP-6X2AD - 6 CHANNEL ETHERNET SMART DIMMER WITH ENERGY METERING,P5,17730.4348,18933.91,-1203.4752000000008,13253.74,0.0,Matched - PRICE MISMATCH
FNIP-8x16A.v4,P5 8 channel relay unit,P5,7600.0,9466.96,-1866.9599999999991,6626.87,0.0,Matched - PRICE MISMATCH
HST-SIPA1SM-00,IP AUDIO 1 WITH INTEGRATED HOST AND SAVANT MUSIC 2.0,SAVANT,23477.3913,22609.57,867.8212999999996,13565.74,0.0,Matched - PRICE MISMATCH
IC95,IC95 Pair Miller&Kreisel,M&K Sound,18269.5652,13042.61,5226.9552,8181.27,0.0,Matched - PRICE MISMATCH
INCLGWW1,Sonos In-Ceiling by Sonance {Pair},Sonos,11303.4783,10868.7,434.77829999999994,8694.96,0.0,Matched - PRICE MISMATCH
ITP-E8000V2B-00,SAVANT TOUCH 8 INCH CONTROL SCREEN - BLACK,SAVANT,39121.74,30000.0,9121.739999999998,21000.0,0.0,Matched - PRICE MISMATCH
IW150,IW150 Miller & Kreisel,M&K Sound,44573.913,32173.04,12400.873,20181.27,0.0,Matched - PRICE MISMATCH
IW150T,IW150T Pair Black Miller & Kreisel,M&K Sound,63843.4783,43477.39,20366.088300000003,27272.18,0.0,Matched - PRICE MISMATCH
IW300,IW300 Miller&Kreisel,M&K Sound,74060.8696,59129.57,14931.299600000006,37090.36,0.0,Matched - PRICE MISMATCH
