odoo_id,sku,display_name,list_price,standard_price
13757,IPMX-E20F-IRB2,"[IPMX-E20F-IRB2] """"""""""ICREALTIME 2 Megapixel IP Camera 1/2.8"""""""" 2M CMOS H.265/H.2641080P(130fps) True WDR (120dB)""""""",8606.09,5163.66
13752,IPMX-B20F-IRW2,"[IPMX-B20F-IRW2] """"""""""ICREALTIME 2 Megapixel IP Camera 1/2.8"""""""" 2M CMOS H.265/H.2641080P(1~30fps) True WDR (120dB)""""""",7795.65,4677.4
13755,IPMX-D20F-IRW2,"[IPMX-D20F-IRW2] """"""""""ICREALTIME 2 Megapixel IP Camera 1/2.8"""""""" 2M Exmor CMOS H.265/H.2641080P(1~60fps) True WDR""""""",8380.87,5028.53
14058,PW-MP-06,"[PW-MP-06] """"""""""PLANETWAVES 1/8"""""""" Stereo Male to Dual Unterminated -6'""""""",377.39,264.18
13758,IPMX-E20F-IRW2,"[IPMX-E20F-IRW2] """"2 MP IP 1/2.8"""" 2M Exmor CMOS H.265/H.264.1080P(1~60fps) True WDR (120dB) IR 30m 3.6mm lens IP67""",7875.65,4725.4
14130,72326,"[72326] """"CONNECT PRO Case 12.9"""" Black (5th Gen)""",8778.26,6144.79
14131,72327,"[72327] """"CONNECT PRO Case 12.9"""" White (5th Gen)""",8778.26,6144.79
14128,72324,"[72324] """"CONNECT PRO Case iPAD Air Black 10.9"""" or Pro 11""""(5th Gen / 3rd Gen)""",8778.26,6144.79
14129,72325,"[72325] """"CONNECT PRO Case iPAD Air White 10.9"""" or Pro 11""""(5th Gen / 3rd Gen)""",8778.26,6144.79
14087,70704,"[70704] """"IPORT SURFACE MOUNT BEZEL SILVER works with iPad Pro 9.7""""""""  Air 2 and iPad Air""",13685.22,9579.66
13919,46KB6G,"[46KB6G] """"KICKER KB6 6.5"""" 2-WAY FULL RA""",3477.39,0
13918,46KB6B,"[46KB6B] """"KICKER KB6 6.5"""" 2-WAY FULL RA""",3477.39,2086.43
14073,70301,"[70301] """"LAUNCH AP.5 SLEEVE WHITE works with iPad Pro 9.7""""""",6290.43,4403.31
13911,DLA-Z1E,"[DLA-Z1E] """"New 0.7""""4K/3000lm/Laser Phosphor for Custom Install""",868695.7,608086.99
13663,SLIMMAX8K0.5M,[SLIMMAX8K0.5M] 0.5m 8K Ultra High Speed Slimwire Max (48G),520.87,312.52
13208,EVERG0.6R,[EVERG0.6R] 0.6M EVERGREEN RCA-RCA,1478.26,1034.78
13212,GOLDG0.6R,[GOLDG0.6R] 0.6M GOLDEN GATE RCA-RCA,2173.91,1521.74
13260,TOWER0.6R,[TOWER0.6R] 0.6M TOWER RCA-RCA,956.52,669.57
13198,COAXCIN0.75,[COAXCIN0.75] 0.75M DIGITAL COAX CINNAMON,1565.22,1095.65
13200,COAXFOR0.75,[COAXFOR0.75] 0.75M DIGITAL COAX FOREST,782.61,547.83
13215,HDM48CAR100,[HDM48CAR100] 1.0M 48G CARBON HDMI,3826.09,2678.26
13220,HDM48CIN100,[HDM48CIN100] 1.0M 48G CINNAMON HDMI,2521.74,1765.22
13224,HDM48FOR100,[HDM48FOR100] 1.0M 48G FOREST HDMI,1565.22,1095.65
13228,HDM48PEA100,[HDM48PEA100] 1.0M 48G PEARL HDMI,782.61,547.83
13210,EVERG01R,[EVERG01R] 1.0M EVERGREEN RCA-RCA,1565.22,1095.65
13214,GOLDG01R,[GOLDG01R] 1.0M GOLDEN GATE RCA-RCA,2347.83,1643.48
13244,NRGY2EU01,[NRGY2EU01] 1.0M NRG-Y2 EU POWER CORD,2173.04,1460.87
13246,NRGY3EU01,[NRGY3EU01] 1.0M NRG-Y3 EU POWER CORD,2607.83,2008.7
13248,NRGZ2EU01,[NRGZ2EU01] 1.0M NRG-Z2 EU POWER CORD,3477.39,2678.26
13250,NRGZ3EU01,[NRGZ3EU01] 1.0M NRG-Z3 EU POWER CORD,4346.96,3104.35
13263,TOWER01R,[TOWER01R] 1.0M TOWER RCA-RCA,956.52,669.57
13199,COAXCIN01.5,[COAXCIN01.5] 1.5M DIGITAL COAX CINNAMON,1913.04,1339.13
13201,COAXFOR01.5,[COAXFOR01.5] 1.5M DIGITAL COAX FOREST,956.52,669.57
13209,EVERG01.5R,[EVERG01.5R] 1.5M EVERGREEN RCA-RCA,1739.13,1217.39
13213,GOLDG01.5R,[GOLDG01.5R] 1.5M GOLDEN GATE RCA-RCA,2521.74,1765.22
13261,TOWER01.5MR,[TOWER01.5MR] 1.5M TOWER 3.5M-RCA,1130.43,791.3
13262,TOWER01.5R,[TOWER01.5R] 1.5M TOWER RCA-RCA,1130.43,791.3
13218,HDM48CCOLA1000,[HDM48CCOLA1000] 10.0M 48G Cherry Cola HDMI AOC,19043.48,13330.43
13233,HDMFOR10A,[HDMFOR10A] 10.0M FOREST HDMI,8086.96,5660.87
13234,HDMPEA10A,[HDMPEA10A] 10.0M PEARL HDMI,5217.39,3652.17
13620,FIBRE-OPTICMAX8K10M,[FIBRE-OPTICMAX8K10M] 10m 8K Ultra High Speed Fibre-Optic Max (48G),4781.74,2869.04
13235,HDMPEA12.5A,[HDMPEA12.5A] 12.5M PEARL HDMI,6347.83,4443.48
13770,NVR-EL128-4U12MP1-10TB,[NVR-EL128-4U12MP1-10TB] 128 CH. EMBEDDED 4K NVR ENHANCED H.265 SUPPORTS UP TO 12MP 10TB INCLUDED (MADE IN KOREA),338506.09,203103.66
13721,IPEL-D12V-IRW2,[IPEL-D12V-IRW2] 12MP IP IN/OUT FULL VANDAL DOME.VARIFOCAL 2.7-12MM MOTOR LENS 131 FEET SMART IR.POE+ AI.ANALYTIC,31834.78,19100.87
13219,HDM48CCOLA1500,[HDM48CCOLA1500] 15.0M 48G Cherry Cola HDMI AOC,20956.52,14669.57
13236,HDMPEA15A,[HDMPEA15A] 15.0M PEARL HDMI,8260.87,5782.61
13621,FIBRE-OPTICMAX8K15M,[FIBRE-OPTICMAX8K15M] 15m 8K Ultra High Speed Fibre-Optic Max (48G),5651.3,3390.78
13771,NVR-EL16-2U12MP1-4TB,[NVR-EL16-2U12MP1-4TB] 16 CHANNEL 2U 4K NVR - 12MP RESOLUTION - 320MBPS - H.265 - HDMI 4TB INCLUDED (MADE IN KOREA),79877.39,47926.44
13777,NVR-FX16POE-1U4K1-4TB,[NVR-FX16POE-1U4K1-4TB] 16CH IP 1U NVR-2HDD BAY-IP 8MP/30FPS (128MBPS)- 16 PORT POE SWITCH 4TB INCLUDED(MADE IN KOREA),47314.78,28388.87
13776,NVR-FX16POE-1U4K1,[NVR-FX16POE-1U4K1] 16CH IP 1U RACKMOUNT NVR - 2HDD - IP RESOLUTION UP TO 8MP/30FPS (128MBPS) - 16 PORT EMBEDDED POE,39804.35,23882.61
13783,NVR-MX16POE-1U4K1-4TB,[NVR-MX16POE-1U4K1-4TB] 16CH IP 1U SHELF NVR-2HDD BAY-IP 8MP/30FPS(128MBPS)-16 PORT POE SWITCH 4TB INCLUDED (MADE IN KOREA),42267.83,25360.7
13240,NRGX2EUC71M,[NRGX2EUC71M] 1M NRG-X2 EU - C7 Power Cable,1129.57,913.04
13242,NRGX3EUC131M,[NRGX3EUC131M] 1M NRG-X3 EU - C13 Power Cable,1390.43,1095.65
15209,RMB-SIPA12F-00,[RMB-SIPA12F-00] 1U FRONT RACK MOUNT BRACKET FOR SINGLE ZONE AMP,1604.35,962.61
13664,SLIMMAX8K1M,[SLIMMAX8K1M] 1m 8K Ultra High Speed Slimwire Max (48G),607.83,364.7
15044,CON-SDC2-00,[CON-SDC2-00] 2-PIN SCREW-DOWN CONNECTOR 25-PACK,1663.48,998.09
15045,CON-STC2-00,[CON-STC2-00] 2-PIN SPRING-LOADED CONNECTOR 25-PACK,3327.83,1996.7
13216,HDM48CAR200,[HDM48CAR200] 2.0M 48G CARBON HDMI,5739.13,4017.39
13221,HDM48CIN200,[HDM48CIN200] 2.0M 48G CINNAMON HDMI,3652.17,2556.52
13225,HDM48FOR200,[HDM48FOR200] 2.0M 48G FOREST HDMI,1913.04,1339.13
13229,HDM48PEA200,[HDM48PEA200] 2.0M 48G PEARL HDMI,1217.39,852.17
13193,BLAB02,[BLAB02] 2.0M BLACK LAB SUBWOOFER,1043.48,730.43
13211,EVERG02R,[EVERG02R] 2.0M EVERGREEN RCA-RCA,1913.04,1339.13
13245,NRGY2EU02,[NRGY2EU02] 2.0M NRG-Y2 EU POWER CORD,2607.83,1765.22
13247,NRGY3EU02,[NRGY3EU02] 2.0M NRG-Y3 EU POWER CORD,3303.48,2556.52
13249,NRGZ2EU02,[NRGZ2EU02] 2.0M NRG-Z2 EU POWER CORD,4520.87,3530.43
13251,NRGZ3EU02,[NRGZ3EU02] 2.0M NRG-Z3 EU POWER CORD,6086.09,4443.48
13264,TOWER02R,[TOWER02R] 2.0M TOWER RCA-RCA,1217.39,852.17
13589,ENS620EXT,[ENS620EXT] 2.4GHz/5GHz. Antenna External 2 x5 dBi. Speed 2 x 2 11ac Operating Mode: AP/WDS/Client Bridge. IP55,5403.48,3782.44
13256,ROCK11B2.5FRBS,[ROCK11B2.5FRBS] 2.5M PR ROCKET 11 BK BAN/S,7304.35,5113.04
13257,ROCK22B2.5FRBS,[ROCK22B2.5FRBS] 2.5M PR ROCKET 22 BK BAN/S,10434.78,7304.35
13258,ROCK332.5PR,[ROCK332.5PR] 2.5M PR ROCKET 33 BAN/S,13999.13,9069.57
13779,NVR-FX24POE-15U4K1-8TB,[NVR-FX24POE-15U4K1-8TB] 24CH IP 1.5U NVR-4HDD BAY-IP 12MP/30FPS(320MBPS)-24 PORT POE SWITCH 8TB INCLUDED (MADE IN KOREA),111122.61,66673.57
13778,NVR-FX24POE-15U4K1,[NVR-FX24POE-15U4K1] 24CH IP 1.5U RACK NVR-4HDD BAY-IP 12MP/30FPS-24 PORT POE SWITCH (MADE IN KOREA),94297.39,56578.44
13794,THIP-P4078FM-IR,[THIP-P4078FM-IR] 256X192THERMAL4MPVISIBLE HYBRID PT7MM8MMFIXED(33°/25°)TEMP/FIRE DETECT.AUTOTRACK AI ANALYTICS NOPSU,83712.17,50227.31
