sku,name,category,price_zar,unit,qty_on_hand,last_updated
BSSBLU100M-EU,"BSS - BSSBLU100M-EU - BLU-100 (EU) - 12 ANALOG MIC/LINE INPUT, 8 ANALOG OUTPUT, NETWORKED SIGNAL PROCESSOR W/ BLU LINK (EUROPEAN VERSION)",Uncategorised,55945.5,pc.,0.0,2026-07-27 (wequote_export)
UACC-HDD8,"Ubiquiti Enterprise 3.5"" 8TB Hard Drive",Uncategorised,6346.96,pc.,0.0,2026-07-27 (wequote_export)
UVC-G6PTZ-W,Ubiquiti UniFi Protect G6 PTZ 8MP White IP Camera | UVC-G6-PTZ-W,Uncategorised,10275.0,pc.,0.0,2026-08-05 (scoop retail-incl-VAT as D-One ex-VAT price)
01574-001,AXIS LICENSE PLATE VERIFIER 1P E-LICENSE,AI CCTV,11106.25,pc.,0.0,2026-07-27 (wequote_export)
02113-001,M4216-LV,AI CCTV,12296.25,pc.,0.0,2026-07-27 (wequote_export)
02374-001,M3086-V - Lifts,AI CCTV,8742.5,pc.,0.0,2026-07-27 (wequote_export)
02415-001,P4705-PLVE Panoramic Camera- Dual sensor,AI CCTV,22957.5,pc.,0.0,2026-07-27 (wequote_export)
02815-001,M4227-LVE - Outdoor,AI CCTV,17746.25,pc.,0.0,2026-07-27 (wequote_export)
03150-001,P3275-LVE + LPR Verifier (Lic Plates),AI CCTV,18930.0,pc.,0.0,2026-07-27 (wequote_export)
07FTN-R,FTN-R Wireless outdoor curtain PIR,Unassigned,1650.0,pc.,0.0,2026-07-27 (wequote_export)
1063646,Klipsch PRO-1000SW White In-Wall Subwoofer,Speaker System,32069.57,pc.,0.0,2026-07-27 (wequote_export)
1063965A,Klipsch Reference Premiere PRO-250-RPW-LCR White In-Wall Speaker,Speaker System,11303.48,pc.,0.0,2026-07-27 (wequote_export)
1063966A,KLIPSCH REFERENCE PREMIERE PRO160RPC WHITE INCEILING SPEAKER,Speaker System,9600.0,pc.,0.0,2026-07-27 (wequote_export)
1063967A,Klipsch Reference Premiere PRO180RPC White InCeiling Speaker,Speaker System,11303.48,pc.,0.0,2026-07-27 (wequote_export)
1063968A,Klipsch Reference Premiere PRO-180-RPC-LCR White In-Ceiling Speaker,Speaker System,12800.0,pc.,0.0,2026-07-27 (wequote_export)
1064064A,Klipsch Reference Premiere PRO180RPW White InWall Speaker,Speaker System,11303.48,pc.,0.0,2026-07-27 (wequote_export)
1064443A,Klipsch Reference PRO16RW White InWall Speaker,Uncategorised,6955.65,pc.,0.0,2026-07-27 (wequote_export)
1064445A,Klipsch Reference PRO-25-RW-LCR White In-Wall Speaker,Uncategorised,8694.78,pc.,0.0,2026-07-27 (wequote_export)
1064446A,PRO-16RC,Uncategorised,4346.96,pc.,0.0,2026-07-27 (wequote_export)
1066277,Klipsch Passive Soundbar Heritage Theater Bar 6580 Passive Soundbar,Speaker System,88852.17,pc.,0.0,2026-07-27 (wequote_export)
1068516,Klipsch Designer DS-180CDT Skyhook Cinch White In-Ceiling Speaker,Speakers,4887.83,pc.,0.0,2026-07-27 (wequote_export)
1068523,Klipsch Custom CS-16CSM Skyhook Cinch White In-Ceiling Speaker,Uncategorised,4194.78,pc.,0.0,2026-07-27 (wequote_export)
1069851,Klipsch Reference Base R-800F Black Floorstanding Speaker,Speaker System,23476.52,Pair,0.0,2026-07-27 (wequote_export)
1069856,Klipsch Reference Base R-30C Black Center Speaker,Speaker System,7303.48,pc.,0.0,2026-07-27 (wequote_export)
1069858,Klipsch Reference Base R-40SA Black Dolby Atmos Surround Sound Speakers,Speaker System,7651.3,Pair,0.0,2026-07-27 (wequote_export)
1070013,Klipsch Reference Premiere RP-8000F II Ebony Floorstanding Speaker,Speaker System,39998.26,Pair,0.0,2026-07-27 (wequote_export)
1070014,Klipsch Reference Premiere RP-6000F II Ebony Floorstanding Speaker Pair,Speaker System,34780.87,Pair,0.0,2026-07-27 (wequote_export)
1070015,Klipsch Reference Premiere RP-5000F II Ebony Floorstanding Speaker,Speaker System,26085.22,Pair,0.0,2026-07-27 (wequote_export)
1070018,Klipsch Reference Premiere RP-504C II Ebony Center Speaker,Speaker System,17390.43,pc.,0.0,2026-07-27 (wequote_export)
1070020,Klipsch Reference Premiere RP-502S II Ebony Surround Speaker,Speaker System,21738.26,Pair,0.0,2026-07-27 (wequote_export)
1070021,Klipsch Reference Premiere RP-500SA II Ebony Surround Atmos Speaker,Speaker System,15651.3,Pair,0.0,2026-07-27 (wequote_export)
1070022,Klipsch Reference Premiere RP-404C II Ebony Center Speaker,Speaker System,13042.61,pc.,0.0,2026-07-27 (wequote_export)
1070410,Klipsch Subwoofer R-121SW EAU Black Subwoofer,Speaker System,11303.48,pc.,0.0,2026-07-27 (wequote_export)
1070643,Klipsch Subwoofer RP-1000SW EUA Black Subwoofer,Speaker System,22278.26,pc.,0.0,2026-07-27 (wequote_export)
1070647,Klipsch Subwoofer RP1200SW EUA Black Subwoofer,Speaker System,26086.09,pc.,0.0,2026-07-27 (wequote_export)
1171713,BeoRemote ,Soundbar System,8260.0,pc.,0.0,2026-07-27 (wequote_export)
1200571,"BeoSound Stage no frame/front, black",TVs,38260.0,pc.,0.0,2026-07-27 (wequote_export)
1200577,"Beosound Stage, Gold Tone/Golden 2",Bang & Olufsen,53912.17,pc.,0.0,2026-07-27 (wequote_export)
1200581,"Beosound Stage, Black Anthracite Dark Grey 2",Uncategorised,53912.17,pc.,0.0,2026-07-27 (wequote_export)
1200606,Beosound Theatre Silver 65,SONOS,217390.43,pc.,0.0,2026-07-27 (wequote_export)
1210800,A9 Wall bracket,Soundbar System,2607.83,pc.,0.0,2026-07-27 (wequote_export)
1240900,Beo Grace Natural Aluminium,Bang & Olufsen,26956.52,pc.,0.0,2026-07-27 (wequote_export)
1254100,Beosound A5 Dark Oak,Bang & Olufsen,37390.43,pc.,0.0,2026-07-27 (wequote_export)
1266124,Beoplay H95 Ferrari Edition,Audio Accessories,28694.78,pc.,0.0,2026-07-27 (wequote_export)
1279402,Beosound Bollard Round 6.6'' Bronze Tone,Bang & Olufsen,46955.65,pc.,0.0,2026-07-27 (wequote_export)
1279600,Beoamp 125.4,Bang & Olufsen,55651.3,pc.,0.0,2026-07-27 (wequote_export)
1305800,Beoconnect Core Natural,Speakers,24346.96,pc.,0.0,2026-07-27 (wequote_export)
1309104,Beosound 2 3rd Gen Gold Tone,Bang & Olufsen,81738.26,pc.,0.0,2026-07-27 (wequote_export)
1310200,BS Theatre Wood front cover Oak,Soundbar System,33042.61,pc.,0.0,2026-07-27 (wequote_export)
1310202,BS Theatre Wood front cover Dark Oak,SONOS,33042.61,pc.,0.0,2026-07-27 (wequote_export)
1311000,BS Theatre LG G rear cover Black 65,SONOS,51.3,pc.,0.0,2026-07-27 (wequote_export)
1315006,Beolab 8 Black Anthracite,Bang & Olufsen,55651.3,pc.,0.0,2026-07-27 (wequote_export)
1315201,Beolab 8 Cover Wood Dark Oak,Bang & Olufsen,14781.74,pc.,0.0,2026-07-27 (wequote_export)
1315301,Beolab 8 Table Stand Black Anthracite,Bang & Olufsen,7390.43,pc.,0.0,2026-07-27 (wequote_export)
1315501,Beolab 8 Wall Bracket - Black Anthrocite,Speakers,10433.91,pc.,0.0,2026-07-27 (wequote_export)
1412000027,Anthem MCA 225 Gen 2 (Black),AVR,49295.65,pc.,0.0,2026-07-27 (wequote_export)
1412000033,Anthem MCA 525 Gen 2 (Black),AVR,86339.13,pc.,0.0,2026-07-27 (wequote_export)
1414000060,Anthem MRX SLM 4K (Black),Amplifiers & Audio Matrix,29556.52,pc.,0.0,2026-07-27 (wequote_export)
1414000081,Anthem MRX 740 8K (Black),Uncategorised,74773.91,pc.,0.0,2026-07-27 (wequote_export)
1414000084,Anthem MRX 1140 8K (Black),AVR,99991.3,pc.,0.0,2026-07-27 (wequote_export)
1417000027,Anthem AVM 70 8K (Black),AVR,105904.35,pc.,0.0,2026-07-27 (wequote_export)
1452800,Contour  Wall Bracket​ Black,TVs,17390.43,pc.,0.0,2026-07-27 (wequote_export)
1454502,Beolab 28 Speaker Gold Tone (Inner Cover Golden),Bang & Olufsen,121738.26,pc.,0.0,2026-07-27 (wequote_export)
1454602,Beolab 28 Woofer Gold Tone,Bang & Olufsen,43477.39,pc.,0.0,2026-07-27 (wequote_export)
1454800,Beolab 28 Backbone Black Floor,Bang & Olufsen,14781.74,pc.,0.0,2026-07-27 (wequote_export)
1454902,Beolab 28 Curtain Cover Fabric Golden,Bang & Olufsen,7390.43,pc.,0.0,2026-07-27 (wequote_export)
1455002,Beolab 28 Curtain Cover Wood Oak,Bang & Olufsen,22607.83,pc.,0.0,2026-07-27 (wequote_export)
1455600,Front cover 55 2nd G Grey Melange/Silver,TVs,10433.91,pc.,0.0,2026-07-27 (wequote_export)
1455700,Contour 55 Floor stand Silver,TVs,25216.52,pc.,0.0,2026-07-27 (wequote_export)
1519000107,Anthem ARC Genesis Microphone Kit (Silver),AVR,2600.0,pc.,0.0,2026-07-27 (wequote_export)
