sku,description,sales_price,cost
IPMX-E20F-IRB2,"""""""""""ICREALTIME 2 Megapixel IP Camera 1/2.8"""""""" 2M CMOS H.265/H.2641080P(130fps) True WDR (120dB)""""""",8606.09,5163.66
IPMX-B20F-IRW2,"""""""""""ICREALTIME 2 Megapixel IP Camera 1/2.8"""""""" 2M CMOS H.265/H.2641080P(1~30fps) True WDR (120dB)""""""",7795.65,4677.4
IPMX-D20F-IRW2,"""""""""""ICREALTIME 2 Megapixel IP Camera 1/2.8"""""""" 2M Exmor CMOS H.265/H.2641080P(1~60fps) True WDR""""""",8380.869999999999,5028.53
PW-MP-06,"""""""""""PLANETWAVES 1/8"""""""" Stereo Male to Dual Unterminated -6'""""""",377.39,264.18
IPMX-E20F-IRW2,"""""2 MP IP 1/2.8"""" 2M Exmor CMOS H.265/H.264.1080P(1~60fps) True WDR (120dB) IR 30m 3.6mm lens IP67""",7875.65,4725.4
72326,"""""CONNECT PRO Case 12.9"""" Black (5th Gen)""",8778.26,6144.79
72327,"""""CONNECT PRO Case 12.9"""" White (5th Gen)""",8778.26,6144.79
72324,"""""CONNECT PRO Case iPAD Air Black 10.9"""" or Pro 11""""(5th Gen / 3rd Gen)""",8778.26,6144.79
72325,"""""CONNECT PRO Case iPAD Air White 10.9"""" or Pro 11""""(5th Gen / 3rd Gen)""",8778.26,6144.79
70704,"""""IPORT SURFACE MOUNT BEZEL SILVER works with iPad Pro 9.7""""""""  Air 2 and iPad Air""",13685.220000000001,9579.66
46KB6G,"""""KICKER KB6 6.5"""" 2-WAY FULL RA""",3477.39,0.0
46KB6B,"""""KICKER KB6 6.5"""" 2-WAY FULL RA""",3477.39,2086.43
70301,"""""LAUNCH AP.5 SLEEVE WHITE works with iPad Pro 9.7""""""",6290.429999999999,4403.3099999999995
DLA-Z1E,"""""New 0.7""""4K/3000lm/Laser Phosphor for Custom Install""",868695.7000000001,608086.99
Callout,* Identified an IP issue preventing C4 DIN rail devices from connecting. * Reserved IP addresses for all C4 devices. * Found 4 non-working C4 keypads;,785.714285714286,550.0
RB-WES,0.5M RPSMA Male to RPSMA Female Cable,130.0,95.0
WL-SMA-0.5,0.5M SMA R/P to N-Type Male LMR Cable,160.0,115.0
SLIMMAX8K0.5M,0.5m 8K Ultra High Speed Slimwire Max (48G),520.87,312.52
EVERG0.6R,0.6M EVERGREEN RCA-RCA,1478.26,1034.78
GOLDG0.6R,0.6M GOLDEN GATE RCA-RCA,2173.91,1521.74
TOWER0.6R,0.6M TOWER RCA-RCA,956.52,669.5699999999999
COAXCIN0.75,0.75M DIGITAL COAX CINNAMON,1565.2199999999998,1095.6499999999999
COAXFOR0.75,0.75M DIGITAL COAX FOREST,782.61,547.83
HQP6-1,1 Link Processor,23043.38,12826.09
CAB-BNC-1M,1 Meter cable with bnc male connectors,21.75,15.0
